control_family,control_family_title,control,control_title
KSI-CNA,Cloud Native Architecture,KSI-CNA-01,Configure ALL machine-based information resources to limit inbound and outbound traffic
KSI-CNA,Cloud Native Architecture,KSI-CNA-02,Design systems to minimize the attack surface and minimize lateral movement if compromised
KSI-CNA,Cloud Native Architecture,KSI-CNA-03,Use logical networking and related capabilities to enforce traffic flow controls
KSI-CNA,Cloud Native Architecture,KSI-CNA-04,Use immutable infrastructure with strictly defined functionality and privileges by default
KSI-CNA,Cloud Native Architecture,KSI-CNA-05,Protect against denial of service attacks and unwanted spam
KSI-CNA,Cloud Native Architecture,KSI-CNA-06,Design systems for high availability and rapid recovery
KSI-CNA,Cloud Native Architecture,KSI-CNA-07,Ensure cloud-native information resources are implemented based on host provider's best practices and documented guidance.
KSI-SVC,Service Configuration,KSI-SVC-01,Continuously evaluate machine-based information resources for opportunities to improve security
KSI-SVC,Service Configuration,KSI-SVC-02,Encrypt or otherwise secure network traffic
KSI-SVC,Service Configuration,KSI-SVC-03,Encrypt information at rest by default
KSI-SVC,Service Configuration,KSI-SVC-04,Manage configuration of machine-based information resources using automation
KSI-SVC,Service Configuration,KSI-SVC-05,Use cryptographic methods to validate the integrity of machine-based information resources
KSI-SVC,Service Configuration,KSI-SVC-06,Use automated key management systems to manage
KSI-SVC,Service Configuration,KSI-SVC-07,"Use a consistent, risk-informed approach for applying security patches"
KSI-IAM,Identity and Access Management,KSI-IAM-01,Enforce multi-factor authentication (MFA) using methods that are difficult to intercept or impersonate (phishing-resistant MFA) for all user authentication.
KSI-IAM,Identity and Access Management,KSI-IAM-02,"Use secure passwordless methods for user authentication and authorization when feasible, otherwise enforce strong passwords with MFA."
KSI-IAM,Identity and Access Management,KSI-IAM-03,Enforce appropriately secure authentication methods for non-user accounts and services.
KSI-IAM,Identity and Access Management,KSI-IAM-04,"Use a least-privileged, role and attribute-based, and just-in-time security authorization model for all user and non-user accounts and services."
KSI-IAM,Identity and Access Management,KSI-IAM-05,Design identity and access management systems that assume resources will be compromised
KSI-IAM,Identity and Access Management,KSI-IAM-06,Automatically disable or otherwise secure accounts with privileged access in response to suspicious activity.
KSI-MLA,"Monitoring, Logging, and Auditing",KSI-MLA-01,"Operate a Security Information and Event Management (SIEM) or similar system(s) for centralized, tamper-resistent logging of events, activities, and changes."
KSI-MLA,"Monitoring, Logging, and Auditing",KSI-MLA-02,Regularly review and audit logs.
KSI-MLA,"Monitoring, Logging, and Auditing",KSI-MLA-03,Rapidly detect and respond to vulnerabilities following requirements and recommendations in the FedRAMP Vulnerability Response and Detection standard
KSI-MLA,"Monitoring, Logging, and Auditing",KSI-MLA-05,Perform Infrastructure as Code and configuration evaluation and testing.
KSI-CMT,Configuration Management,KSI-CMT-01,Log and monitor service modifications
KSI-CMT,Configuration Management,KSI-CMT-02,Execute changes through redeployment of version controlled immutable resources rather than direct modification wherever possible.
KSI-CMT,Configuration Management,KSI-CMT-03,Implement persistent automated testing and validation of changes
KSI-CMT,Configuration Management,KSI-CMT-04,Consistently follow a documented change management procedure
KSI-CMT,Configuration Management,KSI-CMT-05,Evaluate the risk and potential impact of any change.
KSI-PIY,Policy and Inventory,KSI-PIY-01,Generate inventories of information resources from authoritative sources
KSI-PIY,Policy and Inventory,KSI-PIY-02,Document the security objectives and requirements for each information resource
KSI-PIY,Policy and Inventory,KSI-PIY-03,Maintain a vulnerability disclosure program.
KSI-PIY,Policy and Inventory,KSI-PIY-04,Build security and privacy considerations into the Software Development Lifecycle and align with CISA Secure By Design principles
KSI-PIY,Policy and Inventory,KSI-PIY-05,Document methods used to evaluate information resource implementations.
KSI-PIY,Policy and Inventory,KSI-PIY-06,Have staff and budget for security commensurate with the size
KSI-PIY,Policy and Inventory,KSI-PIY-07,Document risk management decisions for software supply chain security.
KSI-TPR,Third-Party Information Resources,KSI-TPR-01,Follow the requirements and recommendations in the FedRAMP Minimum Assessment Standard regarding third-party information resources
KSI-TPR,Third-Party Information Resources,KSI-TPR-03,Identify and prioritize mitigation of potential supply chain risks.
KSI-TPR,Third-Party Information Resources,KSI-TPR-04,Monitor third party software information resources for upstream vulnerabilities
KSI-CED,Cybersecurity Education,KSI-CED-01,"Ensure all employees receive security and privacy awareness training, incident response training, and are familiar with all relevant policies and procedures."
KSI-CED,Cybersecurity Education,KSI-CED-02,"Require role-specific training for high risk roles, including at least roles with privileged access."
KSI-RPL,Recovery Planning,KSI-RPL-01,Define Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO).
KSI-RPL,Recovery Planning,KSI-RPL-02,Develop and maintain a recovery plan that aligns with the defined recovery objectives.
KSI-RPL,Recovery Planning,KSI-RPL-03,Perform system backups aligned with recovery objectives.
KSI-RPL,Recovery Planning,KSI-RPL-04,Regularly test the capability to recover from incidents and contingencies.
KSI-INR,Incident Reporting,KSI-INR-01,Respond to incidents according to FedRAMP requirements and cloud service provider policies
KSI-INR,Incident Reporting,KSI-INR-02,Maintain a log of incidents and periodically review past incidents for patterns or vulnerabilities.
KSI-INR,Incident Reporting,KSI-INR-03,Generate after action reports and regularly incorporate lessons learned into operations.
KSI-CED,Cybersecurity Education,KSI-CED-03,Require role-specific training for development and engineering staff covering best practices for delivering secure software.
KSI-CNA,Cloud Native Architecture,KSI-CNA-08,Use automated services to persistently assess the security posture of all services and automatically enforce secure operations.
KSI-IAM,Identity and Access Management,KSI-IAM-07,"Securely manage the lifecycle and privileges of all accounts, roles, and groups."
KSI-MLA,"Monitoring, Logging, and Auditing",KSI-MLA-07,Maintain a list of information resources and event types that will be monitored
KSI-MLA,"Monitoring, Logging, and Auditing",KSI-MLA-08,"Use a least-privileged, role and attribute-based, and just-in-time access authorization model for access to log data."
